Name,Type
"HP Wolf Security","Win32"
"HP Wolf Security - Console","Win32"
"HP Security Update Service","Win32"
"HP Client Security Manager","Win32"
"HP Sure Click","Win32"
"HP Sure Sense","Win32"
"HP Sure Recover","Win32"
"HP Sure Run Module","Win32"
"HP Documentation","Win32"
"HP Support Assistant","Win32"
"HP JumpStart","Win32"
"HP Audio Control","Win32"
"HP Connection Optimizer","Win32"
"HP Privacy Settings","Win32"
"HP QuickDrop","Win32"
"HP Notifications","Win32"
"HP WorkWell","Win32"
"HP System Default Settings","Win32"
"HPAudioControl","Win32"
"RealtekSemiconductorCorp.HPAudioControl","Win32"
"HPSystemInformation","Win32"
"AD2F1837.HPSystemInformation","Win32"
"AD2F1837.HPDesktopSupportUtilities","Win32"
"AD2F1837.HPSupportAssistant","Win32"
"AD2F1837.HPEasyClean","Win32"
"HPPCHardwareDiagnosticsWindows","Appx"
"HPPrivacySettings","Appx"
"HPSystemInformation","Appx"
"HP Support Assistant","Appx"
"myHP","Appx"
"HPAudioControl","Appx"
"AD2F1837.HPSystemInformation","Appx"
"AD2F1837.HPDesktopSupportUtilities","Appx"
"AD2F1837.HPSupportAssistant","Appx"
"AD2F1837.HPEasyClean","Appx"
"RealtekSemiconductorCorp.HPAudioControl","Appx"
"XboxGameCallableUI","Appx"
"Xbox","Appx"
"XboxApp","Appx"
"XboxGameOverlay","Appx"
"XboxGameBar","Appx"
"Xbox.TCUI","Appx"
"XboxGamingOverlay","Appx"
"XboxIdentityProvider","Appx"
"XboxSpeechToTextOverlay","Appx"
"MicrosoftOfficeHub","Appx"
"MicrosoftTeams","Appx"
"MicrosoftSolitaireCollection","Appx"
"Microsoft.GamingApp","Appx"
"FamilySafety","Appx"
"Family","Appx"
"People","Appx"
"GamingApp","Appx"
"BingFoodAndDrink","Appx"
"BingSports","Appx"
"BingMaps","Appx"
"BingTravel","Appx"
"Bing","Appx"
"Clipchamp","Appx"
"LinkedIn","Appx"
"TCO Certified","Appx"
"Sudoku","Appx"
"Mahjong","Appx"
"MSTeams","Appx"
"Poly Camera Pro","Appx"
"Poly Lens","Win32"
